"Грэм Б.: Разумный инвестор: Полное руководство по стоимостному инвестированию","10300","100","1"," Деловая литература"," Альпина Паблишер"," 12+","2017"," Русский"
"Наурзбаева З., Калаус Л.: Приключения Бату и его друзей в стране Барсакелмес","4230","100","8"," Казахстанская детская литература",," 12+"," 2019"," Русский"
"Хей Л.: Жизнь тебя любит (новое оф-е)","3715","0","0"," Психология популярная"," Эксмо"," 16+"," 2018"," Русский"
"Гловер Р.: Хватит быть славным парнем! Как добиться желаемого в любви, работе и жизни","1190","100","4"," Психология практическая"," Альпина Паблишер"," 16+"," 2019"," Русский"
"Бергман Р.: Восстань и убей первым: Тайная история израильских точечных ликвидаций","6745","0","0"," Публицистика"," Колибри"," 18+"," 2020"," Русский"
"Исаяма Х.: Атака на титанов. Книга 14","1250","100","2"," Манга"," Азбука"," 18+"," 2020"," Русский"
"Мойес Дж.: До встречи с тобой","12950","95","4"," Сентиментальный роман"," Иностранка"," 16+"," 2013"," Русский"
"Толстой Л. Н.: Анна Каренина (Мировая классика)","1910","0","0"," Русская классика"," Азбука"," 16+"," 2013"," Русский"
"Ганди М.: Моя жизнь","4250","0","0"," Публицистика"," Азбука"," 16+"," 2015"," Русский"
"Стайбл В.: Тета-исцеление: Болезни и расстройства от А до Я","4130","0","0"," Эзотерика"," София"," 16+"," 2015"," Русский"
"Докинз Р.: Бог как иллюзия. Азбука-классика. Non-Fiction","3500","100","1"," Научно-популярная литература"," Азбука"," 16+"," 2015"," Русский"
"Фейнман Р.: Вы, конечно, шутите, мистер Фейнман! Эксклюзивная классика","2590","100","3"," Научно-популярная литература"," Neoclassic"," 12+"," 2015"," Русский"
"Сафон К. Р.: Тень ветра (Эксклюзивная классика)","1250","0","0"," Современная мировая проза"," Neoclassic"," 16+"," 2015"," Русский"
"Гомер: Илиада. Мировая классика","1090","0","0"," Поэзия"," Азбука"," 12+"," 2015"," Русский"
"Айтматов Ч. Т.: И дольше века длится день…","2150","0","0"," Русская классика"," Азбука"," 16+"," 2016"," Русский"
"Хауторн А.: Книга заклинаний для новых ведьм. 130 простых заклинаний и ритуалов, чтобы изменить свою жизнь","1490","0","0"," Эзотерика"," Бомбора"," 16+"," 2021"," Русский"
"Бу К.: В тени вечной красоты. Жизнь, смерть и любовь в трущобах Мумбая (нов.оф.)","1650","0","0"," Современная мировая проза"," Бомбора"," 16+"," 2014"," Русский"
"Березовская Е. П.: Малыш, ты скоро? Как повлиять на наступление беременности и родить здорового ребенка","1150","0","0"," Книги для родителей"," Эксмо"," 16+"," 2019"," Русский"
"Нисон С.: Японские свечи. Графический анализ финансовых рынков. Твердый переплет","4800","0","0"," Деловая литература"," Альпина Паблишер"," 16+"," 2019"," Русский"
"Аристотель: Этика (Эксклюзивная классика)","1450","0","0"," Философия"," Neoclassic"," 16+"," 2020"," Русский"
"Мурата С.: Человек-комбини (Homo combini)","1750","0","0"," Современная мировая проза"," Popcorn Books"," 18+"," 2020"," Русский"
"Войджицки Э.: The Woj Way. Как воспитать успешного человека","2095","0","0"," Психология популярная"," Эксмо"," 16+"," 2020"," Русский"
"Килевая Л., Комикс Ф.: Дух моей общаги. Книга 2. Бессонный паралич","1460","0","0"," Комиксы, графические романы"," Комильфо"," 16+"," 2020"," Русский"
"Норбеков М. С.: Опыт дурака, или Ключ к прозрению","1210","0","0"," Психология популярная"," АСТ"," 16+"," 2020"," Русский"
"Турсунов Е.: Курак корпе","4990","0","0"," Современная казахстанская проза"," Meloman Publishing"," 16+"," 2020"," Русский"
"Рудник Э.: Холодное сердце. Гениальный план Олафа","2550","0","0"," Детская литература"," Эксмо"," 6+"," 2021"," Русский"
"Миура Кэнтаро: Берсерк. Том 2","9650","100","4"," Манга"," XL Media"," 18+"," 2020"," Русский"
"Драйзер Т.: Финансист. Всемирная литература (новое оформление)","2780","0","0"," Всемирная классика"," Эксмо"," 16+"," 2020"," Русский"
"Есенберлин І.: Көшпенділер. Алмас қылыш","2600","100","1"," Казахская Классика"," Фолиант"," 16+"," 2021"," Казахский"
"Брандис К.: Дети моря. Водный заговор (#2)","3750","0","0"," Детская литература"," Эксмо"," 12+"," 2021"," Русский"
"Слахи М. У., Симс Ларри: Дневник Гуантанамо","2890","0","0"," Публицистика"," Рипол"," 18+"," 2021"," Русский"
"Гиллис П.: MARVEL: Что если?.. Человек-паук не стал бороться с преступностью","2110","0","0"," Комиксы, графические романы"," Комильфо"," 16+"," 2021"," Русский"
"Акунин Б.: Дорога в Китеж","3660","0","0"," Исторический роман"," АСТ"," 16+"," 2021"," Русский"
"Фромм Э.: Искусство любить. Философия - Neoclassic","3360","100","2"," Психология практическая"," АСТ"," 16+"," 2015"," Русский"
"Зеланд В.: Трансерфинг реальности. Ступень I: Пространство вариантов","8470","0","0"," Эзотерика"," Весь"," 16+"," 2015"," Русский"
"Дефо Д.: Робинзон Крузо. Всемирная литература (новое оформление)","3450","0","0"," Всемирная классика"," Эксмо"," 16+"," 2020"," Русский"
"Вербер Б.: Танатонавты","1250","0","0"," Современная мировая проза"," Эксмо"," 16+"," 2020"," Русский"
"Вэлс М.: Таро Уэйта. Большая книга символов. Подробный разбор каждой карты. Понятный самоучитель","1090","100","1"," Эзотерика"," АСТ"," 16+"," 2021"," Русский"
"Ирвинг В.: Сонная Лощина.  Лучшая мировая классика","1190","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2019"," Русский"
"Дюма А.: Три мушкетера. Лучшая мировая классика","3590","0","0"," Всемирная классика"," Neoclassic"," 12+"," 2019"," Русский"
"Гребенюк М.: Отдел продаж по захвату рынка","1250","0","0"," Деловая литература"," Эксмо"," 16+"," 2018"," Русский"
"Гребенюк М. С.: Гениальные скрипты продаж. Как завоевать лояльность клиентов, 10 шагов к удвоению продаж","3750","0","0"," Бизнес образование"," Бомбора"," 16+"," 2020"," Русский"
"Абай Құнанбаев: Өлеңдер","3450","0","0"," Казахская Классика"," Meloman Publishing"," 16+"," 2020"," Казахский"
"Король Лев. Помни, кто ты. Книга для чтения с цветными картинками","1050","0","0"," Детская литература"," Эксмо"," 6+"," 2020"," Русский"
"Бронникова С.: Интуитивное питание: как перестать беспокоиться о еде и похудеть","1250","100","1"," Психология практическая"," Эксмо"," 12+"," 2015"," Русский"
"Солодар М. А.: Воронка продаж в интернете. Инструмент автоматизации продаж и повышения среднего чека в бизнесе","5550","100","2"," Бизнес образование"," Эксмо"," 16+"," 2018"," Русский"
"Перельман Я. И.: Занимательная астрономия","1250","0","0"," Научно-популярная литература"," Азбука"," 12+"," 2018"," Русский"
"Хей Л.: Книга женского счастья. Все о чем мечтаю","2895","100","11"," Психология популярная"," Эксмо"," 16+"," 2017"," Русский"
"Стрелеки Дж. П.: Кафе на краю земли. Как перестать плыть по течению и вспомнить, зачем ты живешь","2660","60","1"," Психология популярная"," Бомбора"," 16+"," 2018"," Русский"
"Ситников А. П.: KARMALOGIC","2590","0","0"," Психология практическая"," Рипол"," 16+"," 2018"," Русский"
"Ньюмарк Э.: Куриный бульон для души. Сила ""Да"". 101 история о смелости пробовать новое","2160","100","3"," Современная мировая проза"," Бомбора"," 16+"," 2019"," Русский"
"Сауытбай Р.: Шоко әлем","7700","100","8"," Казахстанская детская литература",," 12+"," 2019"," Казахский"
"Мист М.: Злая книга","1460","0","0"," Детская литература"," Эксмо"," 12+"," 2021"," Русский"
"Гарри Поттер и узник Азкабана. Календарь настенный на 2022 год","2990","0","0"," Периодические издания"," Эксмо"," 12+"," 2021"," Русский"
"Холл А.: Идеальный парень","2830","100","2"," Young adult"," АСТ"," 18+"," 2021"," Русский"
"Кинг С.: Мистер Мерседес. Темная башня","5490","100","1"," Остросюжетная литература"," АСТ"," 16+"," 2014"," Русский"
"Аракава Х.: Стальной Алхимик. Кн. 1","1520","95","4"," Манга"," Азбука"," 16+"," 2019"," Русский"
"Поляк К. М.: Цветочная фантазия. Мини-раскраска-антистресс для творчества и вдохновения","5950","0","0"," Дом, быт, досуг",," 6+",," Русский"
"Кинни Дж.: Дневник слабака","1480","100","2"," Детская литература"," АСТ"," 12+"," 2016"," Русский"
"Гёте И. В.: Фауст. Эксклюзивная классика","4250","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2016"," Русский"
"Махёрин Ш.: Змей и голубка","3250","0","0"," Young adult"," АСТ"," 18+"," 2020"," Русский"
"Ильф И. А., Петров Е. П.: 12 стульев","1460","0","0"," Русская классика"," АСТ"," 12+"," 2015"," Русский"
"Криадо-Перес К.: Невидимые женщины:  Почему мы живем в мире, удобном только для мужчин","3990","0","0"," Публицистика"," Альпина Паблишер"," 16+"," 2020"," Русский"
"Шаряфетдинов Р. Х.: Арабский язык. 4 книги в одной: разговорник, арабско-русский словарь, русско-арабский словарь, грамматика","1950","0","0"," Иностранные языки",," 12+"," 2020"," Арабский"
"Покатилова Н. А.: Сад женской души. Рисунки и мандалы для работы с подсознанием","7310","0","0"," Дом, быт, досуг",," 12+"," 2018"," Русский"
"Гравити Фолз. Беги, Диппер, беги!","3520","100","2"," Детская литература"," Эксмо"," 12+"," 2017"," Русский"
"Карнеги Дейл: Как располагать к себе людей: Как эффективно общаться с людьми: Как преодолеть тревоги и стресс","4150","0","0"," Психология популярная"," Попурри"," 16+"," 2020"," Русский"
"Айтматов Ч. Т.: Плаха (Всемирная литература)","2550","0","0"," Русская классика"," Эксмо"," 16+"," 2021"," Русский"
"Себастьян Л.: Принцесса пепла","1390","0","0"," Young adult"," Freedom"," 16+"," 2018"," Русский"
"Диспенза Дж.: Развивай свой мозг. Как перенастроить разум и реализовать собственный потенциал. UnicornBook. Мега-бестселлеры в мини-формате","3715","100","1"," Психология популярная"," Эксмо"," 16+"," 2019"," Русский"
"Драйзер Т.: Финансист. Титан. Стоик","2250","0","0"," Всемирная классика"," Иностранка"," 16+"," 2018"," Русский"
"Большая раскраска для фанатов Minecraft (неофициальная, но оригинальная)","5545","0","0"," Раскраски"," Эксмо"," 0+"," 2021"," Русский"
"Оруэлл Дж.: Скотный двор. Эссе. Лучшая мировая классика","3220","0","0"," Всемирная классика"," АСТ"," 16+"," 2018"," Русский"
"О'Мэлли Б. Л.: Скотт Пилигрим. Коллекционное издание. Том 1","3090","0","0"," Комиксы, графические романы"," Комильфо"," 18+"," 2021"," Русский"
"Герберт Ф.: Дюна: Орден сестер","1750","0","0"," фантастика"," Neoclassic"," 16+"," 2020"," Русский"
"Олкотт Л. М.: Маленькие женщины. Лучшая мировая классика","2240","0","0"," Всемирная классика"," Neoclassic"," 12+"," 2020"," Русский"
"Филлипс Д. А.: Полный курс нумерологии. Как найти себя и раскрыть свой потенциал","2680","93","3"," Эзотерика"," Колибри"," 16+"," 2018"," Русский"
"Исаяма Х.: Атака на Титанов. Книга 4","5240","0","0"," Манга"," Азбука"," 18+"," 2016"," Русский"
"Драйзер Т.: Финансист. Яркие страницы","1450","100","1"," Всемирная классика"," Эксмо"," 16+"," 2019"," Русский"
"Омер М.: Глазами жертвы","4550","0","0"," Остросюжетная литература"," Эксмо"," 16+"," 2021"," Русский"
"Нұршайықов Ә.: Махаббат, қызық мол жылдар (қатты мұқаба)","3850","0","0"," Казахская Классика"," Qasym баспа үйі"," 12+"," 2021"," Казахский"
"Горман З.: Рик и Морти. Полное издание. Т. 1","2990","100","1"," Комиксы, графические романы"," Комильфо"," 18+"," 2021"," Русский"
"Олкотт Л. М.: Маленькие женщины. Азбука-Классика","3090","0","0"," Всемирная классика"," Азбука"," 12+"," 2017"," Русский"
"Герберт Б., Андерсон К. Дж.: Ментаты Дюны","2150","0","0"," фантастика"," Neoclassic"," 16+"," 2020"," Русский"
"Щерба Н. В.: Часодеи. 1. Часовой Ключ","5010","100","4"," Детская литература"," Росмэн"," 12+"," 2011"," Русский"
"Кундера М.: Невыносимая легкость бытия","1150","0","0"," Современная мировая проза"," Азбука"," 16+"," 2015"," Русский"
"Лихи Р.: Свобода от тревоги. Справься с тревогой, пока она не расправилась с тобой. Сам себе психолог","3020","0","0"," Психология практическая"," Питер-Трейд"," 12+"," 2018"," Русский"
"Дневник Стива. Конек-квадратноног","2790","100","1"," Детская литература"," Бомбора"," 12+"," 2017"," Русский"
"Спаркс Н.: Спеши любить (эксклюзивная классика)","5750","0","0"," Сентиментальный роман в обложке"," АСТ"," 16+"," 2017"," Русский"
"Горбацевич А. Г., Мазаник Т. М.: Годовой курс занятий: для детей 1-2 лет","1150","100","6"," Развивающая литература"," Эксмо"," 0+"," 2014"," Русский"
"Стайбл В.: Ритм Тета-исцеления (нов.)","1690","0","0"," Эзотерика"," София"," 16+"," 2016"," Русский"
"Камия Ю, Хиираги Масиро: Без игры жизни нет. Том 1","2590","100","4"," Манга"," XL Media"," 18+"," 2015"," Русский"
"Мирай М.: Синтонимы","2050","0","0"," Young adult"," АСТ"," 16+"," 2019"," Русский"
"Ода Э.: One Piece. Большой куш. Кн. 2. Клятва","3040","0","0"," Манга"," Азбука"," 12+"," 2019"," Русский"
"Нельсон Т.: Райя и последний дракон","1540","0","0"," Детская литература"," Эксмо"," 6+"," 2021"," Русский"
"Сент-Экзюпери А. де: Маленький принц. Романы","2990","0","0"," Всемирная классика"," Эксмо"," 16+"," 2020"," Русский"
"Петрова А. В., Орлова И. А.: Самый лучший самоучитель английского языка","2290","0","0"," Иностранные языки"," АСТ"," 12+"," 2015"," Русский"
"Мэтьюз Э.: Живи легко","1550","100","3"," Психология популярная"," Бомбора"," 16+"," 2012"," Русский"
"Бойн Д.: Мальчик в полосатой пижаме","1790","100","4"," Современная мировая проза",," 12+"," 2013"," Русский"
"Стайбл В.: Семь Планов Существования: Философия Тета-исцеления","1450","0","0"," Эзотерика"," София"," 16+"," 2016"," Русский"
"Лавкрафт Г. Ф.: Зов Ктулху. Эксклюзивная классика","1290","0","0"," фантастика"," Neoclassic"," 16+"," 2016"," Русский"
"Мураками Х.: Норвежский лес. Мураками-мания (обложка). Новое оформление","1960","0","0"," Современная мировая проза"," Эксмо"," 16+"," 2021"," Русский"
"Батырев М.: 45 татуировок менеджера. Правила российского руководителя под партнерством Ispring","8950","0","0"," Бизнес образование"," МИиФ"," 16+"," 2020"," Русский"
"Дневник Стива. Книга 4. Оцелот на оцелоте","4250","100","1"," Детская литература"," Эксмо"," 12+"," 2017"," Русский"
"Ооба Ц., Обата Т.: Death Note. Black Edition. Кн. 4","6650","100","2"," Манга"," Азбука"," 18+"," 2018"," Русский"
"Бишоп Г.: Unfu*k yourself. Парься меньше, живи больше","1290","0","0"," Психология популярная"," Бомбора"," 16+"," 2018"," Русский"
"Келси Р.: Код уверенности. Как умному человеку стать уверенным в себе. Психология. Плюс 1 победа","1960","0","0"," Психология популярная"," Бомбора"," 16+"," 2018"," Русский"
"Бардуго Л.: Шестерка воронов (кинообложка)","2000","0","0"," Young adult",," 16+"," 2021"," Русский"
"Тонкое искусство пофигизма. Парадоксальный способ жить счастливо","4215","99","29"," Психология популярная"," Альпина Паблишер"," 16+"," 2018"," Русский"
"Кисимото М.: Наруто. Кн. 1. Наруто Удзумаки","5150","100","17"," Манга"," Азбука"," 16+"," 2021"," Русский"
"Қошым-Ноғай Б.: Әліппе","1660","99","80"," Казахстанская детская литература",," 6-"," 2019"," Казахский"
"Некрасов А. А.: Материнская любовь","1990","93","3"," Психология популярная"," АСТ"," 12+"," 2010"," Русский"
"Харари Ю. Н.: Sapiens. Краткая история человечества. Твердый переплет","5960","96","10"," Научно-популярная литература"," Синдбад"," 16+"," 2016"," Русский"
"Карнеги Д.: Искусство завоевывать друзей и оказывать влияние на людей, эффективно общаться и расти как личность","1920","60","4"," Психология популярная"," АСТ"," 12+"," 2017"," Русский"
"Шарма Р.: Кто заплачет, когда ты умрешь? Уроки жизни от монаха, который продал свой «феррари» (мягкая обложка)","1290","100","3"," Бизнес образование"," АСТ"," 12+"," 2019"," Русский"
"Драйзер Т.: Финансист. Эксклюзивная классика","1550","100","1"," Всемирная классика"," Neoclassic"," 16+"," 2018"," Русский"
"Синсеро Дж.: НЕ ТУПИ. Только тот, кто ежедневно работает над собой, живет жизнью мечты","3385","97","15"," Психология популярная"," Эксмо"," 16+"," 2020"," Русский"
"Давлатов С.: Стратегия мышления богатых и бедных людей","2450","99","35"," Бизнес образование"," Эксмо"," 16+"," 2018"," Русский"
"Толстой Л. Н.: Война и мир. Комплект из 2-х книг","2685","98","12"," Русская классика"," Азбука"," 12+"," 2015"," Русский"
"Довлатов С.: Чемодан (Азбука-Классика)","2590","0","0"," Современная российская проза"," Азбука"," 18+"," 2012"," Русский"
"Зеланд В.: Трансерфинг реальности. Ступень V. Яблоки падают в небо","1090","0","0"," Эзотерика"," Весь"," 16+"," 2006"," Русский"
"Поляк К. М.: Мандалы. Мини-раскраска-антистресс для творчества и вдохновения","1290","0","0"," Дом, быт, досуг",," 6+"," 2015"," Русский"
"Остин Дж.: Нортенгерское аббатство. Мировая классика","1290","0","0"," Всемирная классика"," Азбука"," 16+"," 2015"," Русский"
"Лондон Дж.: Сердца трех. Мировая классика","4700","0","0"," Всемирная классика"," Азбука"," 12+"," 2015"," Русский"
"Водолазкин Е. Г.: Авиатор","1470","0","0"," Современная российская проза"," АСТ"," 16+"," 2016"," Русский"
"Узорова О. В., Нефедова Е. А.: Мои первые прописи. 1класс","1750","0","0"," Развивающая литература"," АСТ"," 0+"," 2016"," Русский"
"Ремарк Э. М.: Тени в раю (Эксклюзивная классика)","1250","0","1"," Всемирная классика"," Neoclassic"," 16+"," 2016"," Русский"
"Кинг С.: Сияние (новый перевод).","1150","100","2"," фантастика"," АСТ"," 16+"," 2014"," Русский"
"Довлатов С.: Иностранка (Азбука-Классика)","4190","0","0"," Современная российская проза"," Азбука"," 18+"," 2011"," Русский"
"Бронте Э.: Грозовой перевал (Мировая классика)","6990","0","0"," Всемирная классика"," Азбука"," 16+"," 2013"," Русский"
"Флобер Г.: Госпожа Бовари. Эксклюзивная классика","1300","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2017"," Русский"
"Грин Р.: 48 законов власти (Стратегия лидера)","1290","100","2"," Психология популярная"," Рипол"," 16+"," 2017"," Русский"
"Филд С.: Киносценарий: основы написания","3100","0","0"," Культура, искусство"," Эксмо"," 16+"," 2016"," Русский"
"Ньютон М.: Предназначение Души","1730","90","2"," Эзотерика"," Лабиринт"," 16+"," 2014"," Русский"
"Верн Ж.: Дети капитана Гранта. Эксклюзивная классика","4880","0","0"," Всемирная классика"," Neoclassic"," 12+"," 2018"," Русский"
"Лондон Дж.: Любовь к жизни. Мировая классика","3920","0","0"," Всемирная классика"," Азбука"," 12+"," 2017"," Русский"
"Ошо: Любовь, свобода, одиночество","990","100","3"," Эзотерика"," Весь"," 16+"," 2018"," Русский"
"Булгаков М. А.: Мастер и Маргарита (Лучшая мировая классика)","1400","0","0"," Русская классика"," АСТ"," 16+"," 2018"," Русский"
"Браун Д.: Инферно (Мягкая обложка)","1790","0","0"," Остросюжетная литература"," АСТ"," 16+"," 2018"," Русский"
"Сенека Л. А.: Нравственные письма к Луцилию. Эксклюзивная классика","1990","0","0"," Философия"," Neoclassic"," 12+"," 2018"," Русский"
"Васильев А. Н.: Программирование на Java для начинающих","1960","100","2"," Компьютер"," Эксмо"," 12+"," 2018"," Русский"
"Малов В. И.: О том, как работает техника","1550","0","0"," Энциклопедии"," АСТ"," 0+"," 2018"," Русский"
"Вулф В.: На маяк. Эксклюзивная классика","5250","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2018"," Русский"
"Коллинз У.: Женщина в белом. Эксклюзивная классика","1030","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2018"," Русский"
"Единороги. Раскраска-антистресс для творчества и вдохновения","3690","0","0"," Дом, быт, досуг"," Эксмо"," 6+"," 2018"," Русский"
"Матвеев С. А.: Полный курс русского языка","1590","0","0"," Иностранные языки"," АСТ"," 12+"," 2019"," Русский"
"Аморузо С.: #Girlboss. Как я создала миллионный бизнес, не имея денег, офиса и высшего образования (UnicornBook)","5020","100","2"," Бизнес образование"," Бомбора"," 16+"," 2019"," Русский"
"Кинг С.: Кто нашел, берет себе. Мягкая обложка","3190","0","0"," Остросюжетная литература"," АСТ"," 16+"," 2019"," Русский"
"Йенг Д. Дж., Шульц Г.: Как чашка за чашкой строилась Starbucks","3620","0","0"," Бизнес образование"," Альпина Паблишер"," 12+"," 2018"," Русский"
"Ницше Ф. В.: По ту сторону добра и зла. Эксклюзивная классика","1610","0","0"," Философия"," Neoclassic"," 16+"," 2018"," Русский"
"Аристотель: Политика. Риторика","4590","0","0"," Философия"," Бомбора"," 16+"," 2019"," Русский"
"Олкотт Л. М.: Маленькие женщины. Pocket book","3520","0","0"," Всемирная классика"," Эксмо"," 12+"," 2019"," Русский"
"Кинг С.: Чужак. Темная башня","3015","0","0"," Остросюжетная литература"," АСТ"," 16+"," 2019"," Русский"
"Дойл А. К.: Этюд в багровых тонах. Знак четырех. Записки о Шерлоке Холмсе","1630","0","0"," Остросюжетная литература"," АСТ"," 12+"," 2019"," Русский"
"Бардуго Л.: Язык шипов","1290","0","0"," Young adult"," АСТ"," 16+"," 2019"," Русский"
"Ерофеева И. В.: Хан Абулхаир: полководец, правитель, политик","2890","0","0"," История Казахстана и Центральной Азии",," 16+"," 2007"," Русский"
"Ли Союн, Хон Чуён: Магия обладания деньгами. Корейское искусство превращения мыслей в денежный поток","11450","0","0"," Психология практическая"," Бомбора"," 16+"," 2019"," Русский"
"Абгарян Н.: С неба упали три яблока","5850","0","0"," Современная российская проза"," АСТ"," 16+"," 2018"," Русский"
"Адизес И. К.: Развитие лидеров: Как понять свой стиль управления и эффективно общаться с носителями иных стилей","3245","0","0"," Деловая литература"," Альпина Паблишер"," 16+"," 2018"," Русский"
"Руни С.: Нормальные люди","2590","0","0"," Современная мировая проза"," Синдбад"," 16+"," 2020"," Русский"
"Цукуси А.: Made in Abyss. Созданный в бездне. Том 4","4450","0","0"," Манга"," АСТ"," 18+"," 2019"," Русский"
"Синельников В. В.: Прививка от стресса. Как стать хозяином своей жизни. Тайны подсознания","2780","0","0"," Психология популярная"," Центрполиграф"," 16+"," 2020"," Русский"
"Долгачева Н.: Карта эмоций. Развиваем эмоциональный интеллект. Развивающая тетрадь. 5 лет","3120","0","0"," Развивающая литература"," Клевер"," 0+"," 2020"," Русский"
"Сент-Экзюпери А. де: Маленький принц. Южный почтовый. Ночной полет. Планета людей","2730","0","0"," Всемирная классика"," Азбука"," 12+"," 2019"," Русский"
"Франкл В.: Өмірден мән іздеген жан","1060","100","1"," Психология популярная"," Мазмұндама"," 16+"," 2020"," Казахский"
"Ергин Д.: Добыча: Всемирная история борьбы за нефть, деньги и власть","6350","0","0"," Публицистика"," Альпина Паблишер"," 16+"," 2020"," Русский"
"Акунин Б.: Просто Маса","2520","0","0"," Остросюжетная литература"," АСТ"," 16+"," 2020"," Русский"
"МакГрат М.: Программирование на Python для начинающих","3740","80","1"," Компьютер"," Эксмо"," 12+"," 2015",
"Кант И.: Критика практического разума","1550","0","0"," Философия"," Neoclassic"," 16+"," 2019"," Русский"
"Король Лев. Путь короля. Книга для чтения (с классическими иллюстрациями)","1690","100","2"," Детская литература"," Эксмо"," 6+"," 2019"," Русский"
"Форлео М.: Ты - богиня! Как сводить мужчин с ума..","1050","100","2"," Психология популярная"," ОДРИ"," 16+"," 2016"," Русский"
"Пиз А., Пиз Б.: Почему мужчины врут, а женщины ревут (новое оформление)","4790","0","0"," Психология популярная"," Эксмо"," 16+"," 2017"," Русский"
"Толстой Л. Н.: Анна Каренина. Лучшая мировая классика","1250","0","0"," Русская классика"," АСТ"," 16+"," 2018"," Русский"
"Сеттерфилд Д.: Тринадцатая сказка (Мягкая обложка)","2190","0","0"," Современная мировая проза"," Азбука"," 16+"," 2015"," Русский"
"Маркс К.: Нищета философии.","690","0","0"," Философия"," Эксмо"," 16+"," 2016"," Русский"
"Питерс С.: Парадокс Шимпанзе. Как управлять эмоциями для достижения своих целей","3990","0","0"," Психология популярная"," Эксмо"," 16+"," 2018"," Русский"
"Гавальда А.: Просто вместе.  Эксклюзивная классика","2250","0","0"," Современная мировая проза"," Neoclassic"," 16+"," 2019"," Русский"
"Исида С.: Токийский гуль. Кн. 7","3250","0","0"," Манга"," Азбука"," 18+"," 2019"," Русский"
"Садхгуру: Внутренняя инженерия. Путь к радости. Практическое руководство от йога","1650","100","6"," Психология популярная"," Бомбора"," 16+"," 2018"," Русский"
"Кийосаки Р.: Квадрант денежного потока (мягкая обложка)","1150","100","4"," Бизнес образование"," Попурри"," 16+"," 2019"," Русский"
"Жукова О. С.: Развиваем и проверяем внимание и память","870","0","0"," Развивающая литература"," Малыш"," 0+"," 2020"," Русский"
"Жукова О. С.: Развиваем и проверяем речь","3260","0","0"," Развивающая литература"," Малыш"," 0+"," 2020"," Русский"
"Бэйли Дж.: Мое тело меняется: все, что хотят знать подростки и о чем стесняются говорить родители","1650","100","1"," Детский нон-фикшн"," Клевер"," 12+"," 2020"," Русский"
"Пушкин А. С.: Евгений Онегин (Мировая классика)","4750","0","0"," Поэзия"," Азбука"," 12+"," 2015"," Русский"
"Капоте Т.: Завтрак у Тиффани. Азбука-Классика","3390","0","0"," Всемирная классика"," Азбука"," 16+"," 2015"," Русский"
"Книжки - картонки. Животные","4990","96","5"," Развивающая литература"," Робинс"," 0+"," 2015"," Русский"
"Гомер: Одиссея. Мировая классика","750","0","0"," Поэзия"," Азбука"," 12+"," 2015"," Русский"
"Альтхофф К.: Сам себе программист. Как научиться программировать и устроиться в Ebay?","660","100","2"," Компьютер"," Бомбора"," 12+"," 2018"," Русский"
"Гравити Фолз. Коллекция коротких комиксов","3550","100","2"," Комиксы детские"," Эксмо"," 12+"," 2018"," Русский"
"Тайна Коко. Графический роман","1590","0","0"," Комиксы детские"," Эксмо"," 12+"," 2020"," Русский"
"Друкерман П.: Французские дети не плюются едой (Синдбад)","4450","0","0"," Психология популярная"," Синдбад"," 12+"," 2019"," Русский"
"Сазерленд Дж.: Scrum. Революционный метод управления проектами. МИФ. Бизнес","2540","0","0"," Деловая литература"," МИиФ"," 16+"," 2019"," Русский"
"Пратчетт Т.: Творцы заклинаний. Вещие сестрички. Терри Пратчетт. Коллекция (новое оформление)","950","0","0"," фантастика"," Эксмо"," 16+"," 2020"," Русский"
"Скотт Э.: Не оставляй меня (#1)","6250","0","0"," Сентиментальный роман",," 18+"," 2020"," Русский"
"Рака Г.: Чудо-Женщина. Гикетейя","5110","0","0"," Комиксы, графические романы"," Азбука"," 12+"," 2020"," Русский"
"Кван К.: Безумно богатые азиаты","4085","0","0"," Современная мировая проза"," Иностранка"," 16+"," 2020"," Русский"
"Снайдер С. и др.: Джокер. 80 лет знаменитому злодею (Делюкс)","1750","0","0"," Комиксы, графические романы"," Азбука"," 16+"," 2020"," Русский"
"Пинкер С.: Лучшее в нас: Почему насилия в мире стало меньше","1400","0","0"," Психология практическая"," Альпина Паблишер"," 16+"," 2020"," Русский"
"Терджен К.: Книга Русалок: Волшебный путеводитель по страницам фолиантов, подводным глубинам и вершинам изящных искусств","16990","0","0"," Культура, искусство"," Колибри"," 16+"," 2020"," Русский"
"Прайор К.: Не рычите на собаку! Книга о дрессировке людей, животных и самого себя. Психология. Главные книги жизни","1350","0","0"," Психология популярная"," Эксмо"," 16+"," 2021"," Русский"
"Есенберлин І.: Көшпенділер. Қаһар","5290","0","0"," Казахская Классика"," Фолиант"," 14+"," 2021"," Казахский"
"Мейзи Хитчинс. Дневник девочки-детектива","2450","0","0"," Детский досуг",," 12+"," 2021"," Русский"
"Ньоне Э.: W.I.T.C.H. Часть 1. Двенадцать порталов. Том 2","3190","0","0"," Комиксы детские"," Комильфо"," 12+"," 2021"," Русский"
